	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
97	Whether a rainstorm, snow, or hail, humanity can find a way to escape it by restoring old city streets 	Whether a rainstorm, snow, or hail, humanity can find a way to escape it by creating a protected space 	Whether a rainstorm, snow, or hail, humanity can find a way to escape it by building a large community 	Whether a rainstorm, snow, or hail, humanity can find a way to escape it by sheltering all the young	B	 restoring old city streets 	 creating a protected space 	 building a large community 	 sheltering all the young
98	In a strong tempest, a large boulder may be broken 	In a strong tempest, a large boulder may be smoothed 	In a strong tempest, a large boulder may be sharpened 	In a strong tempest, a large boulder may be stained	B	 broken 	 smoothed 	 sharpened 	 stained
99	The way that electrical conductors works in ways such as sticking a plug into an outlet to power a microwave 	The way that electrical conductors works in ways such as turning on a coffee pot in the morning 	The way that electrical conductors works in ways such as making sure that a hair dryer is unplugged after use 	The way that electrical conductors works in ways such as turning on lights in a room	A	 sticking a plug into an outlet to power a microwave 	 turning on a coffee pot in the morning 	 making sure that a hair dryer is unplugged after use 	 turning on lights in a room
100	When wheels are squealing on a blacktop, friction works against motion 	When wheels are squealing on a blacktop, friction stops motion 	When wheels are squealing on a blacktop, friction removes forward motion 	When wheels are squealing on a blacktop, friction makes things rough	A	 works against motion 	 stops motion 	 removes forward motion 	 makes things rough
101	Breaking a vase changes its center of gravity 	Breaking a vase changes its shape and mass 	Breaking a vase changes its chemical composition 	Breaking a vase changes its speed	B	 center of gravity 	 shape and mass 	 chemical composition 	 speed
102	When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use colored pencils 	When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use snow cones 	When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use murky river fluid 	When looking for a good renewable resource in order to avoid wasting anything that will eventually run out, a man decides to use fresh flounder	C	 colored pencils 	 snow cones 	 murky river fluid 	 fresh flounder
103	A consequence of polluting could be that fish become inedible 	A consequence of polluting could be that water tastes gross 	A consequence of polluting could be that papers report it 	A consequence of polluting could be that trash is overflowing	A	 fish become inedible 	 water tastes gross 	 papers report it 	 trash is overflowing
104	the top layer of soil contains the most nutrients where I hike 	the top layer of soil contains the most nutrients where I wade 	the top layer of soil contains the most nutrients where I jog 	the top layer of soil contains the most nutrients where I skate	A	 hike 	 wade 	 jog 	 skate
105	A cacti is basically an enormous stem, which means that it can be drunk from 	A cacti is basically an enormous stem, which means that it is very thin 	A cacti is basically an enormous stem, which means that it holds up bright green leaves 	A cacti is basically an enormous stem, which means that it can hide in grass	A	 it can be drunk from 	 it is very thin 	 it holds up bright green leaves 	 it can hide in grass
106	Without reliable sources of food or water creatures experience some suffering 	Without reliable sources of food or water animals must make their own 	Without reliable sources of food or water dogs will need to be fed 	Without reliable sources of food or water organisms need to be cared for	A	 creatures experience some suffering 	 animals must make their own 	 dogs will need to be fed 	 organisms need to be cared for
107	if food has lack of immediate use for energy then it will be discarded immediately 	if food has lack of immediate use for energy then it will kept for later 	if food has lack of immediate use for energy then it will left to rot 	if food has lack of immediate use for energy then it will be thrown up	B	 be discarded immediately 	 kept for later 	 left to rot 	 be thrown up
108	Puerto Rico experienced many landslides due to Hurricane Maria in 2017 	Puerto Rico experienced many landslides due to Hurricane Maria in 2015 	Puerto Rico experienced many landslides due to Hurricane Maria in 2012 	Puerto Rico experienced many landslides due to Hurricane Maria in 2009	A	 2017 	 2015 	 2012 	 2009
109	Deserts, Jungles, and Oceans have many different organisms 	Deserts, Jungles, and Oceans have many different fish 	Deserts, Jungles, and Oceans have many different trees 	Deserts, Jungles, and Oceans have many different grasses	A	 organisms 	 fish 	 trees 	 grasses
110	If a glacier going past a dock brushed up against some large boulders there, the stones would have gouges 	If a glacier going past a dock brushed up against some large boulders there, the stones would have stains 	If a glacier going past a dock brushed up against some large boulders there, the stones would be frozen 	If a glacier going past a dock brushed up against some large boulders there, the stones would be dirty	A	 have gouges 	 have stains 	 be frozen 	 be dirty
